Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure_Type
H,300.7,309.5,1667,30.5,29,0
L,297.5,308.8,1360,50.7,190,0
L,298.0,307.8,1839,22.7,79,0
L,297.4,308.8,1467,39.0,128,0
M,300.3,309.9,1494,38.5,33,0
L,299.3,308.6,1744,26.4,33,0
L,296.8,307.7,1565,40.1,89,0
M,300.0,311.5,1451,49.0,115,0
M,302.2,311.2,1544,43.6,63,0
M,300.9,310.5,1702,29.3,32,0
L,300.7,310.2,1387,50.6,83,0
L,300.4,311.5,1596,32.5,154,0
L,303.7,312.7,1572,37.2,192,0
M,297.0,307.7,1261,51.1,130,0
L,300.9,312.1,1711,28.8,74,0
L,302.3,310.9,1529,33.4,62,0
M,300.5,309.4,1347,50.1,213,0
L,301.4,310.4,1559,39.4,199,0
M,300.7,311.3,1348,53.0,35,0
L,298.8,309.9,1525,39.7,77,0
L,298.7,310.3,1451,40.0,86,0
L,302.4,311.2,1466,43.9,152,0
M,297.7,308.9,1573,35.1,9,0
L,298.0,308.9,1390,53.9,88,0
L,302.2,310.8,1350,56.6,76,0
L,295.9,306.6,1414,50.2,51,0
M,298.9,309.8,1947,21.7,105,0
M,297.4,309.3,1564,36.0,126,0
L,302.7,312.3,1858,25.4,2,0
M,299.3,308.9,1858,24.7,101,0
L,297.6,308.7,1455,48.2,145,0
L,301.4,310.6,1557,38.2,157,0
L,300.2,311.8,1379,51.0,46,0
L,298.4,309.2,1692,29.8,137,0
M,300.7,310.5,1863,22.2,111,0
H,300.3,311.9,1390,49.0,194,0
H,299.3,308.7,1408,44.4,82,0
L,297.3,308.7,1492,43.6,189,0
L,297.6,308.7,1319,50.9,141,0
M,302.5,310.3,1710,27.3,186,0
M,297.5,309.4,1433,48.3,139,0
L,300.6,310.0,1425,49.5,174,0
L,297.6,308.5,1475,42.4,24,0
M,302.0,310.6,1392,60.5,10,0
M,298.7,309.5,1394,46.0,113,0
L,299.6,311.1,1521,37.2,131,0
M,301.5,310.8,1385,47.5,30,0
L,297.5,308.6,1437,43.3,34,0
L,302.8,312.3,1764,29.9,162,0
L,299.4,310.7,1551,41.2,3,0
L,302.2,310.8,1744,29.7,16,0
L,297.4,308.4,2151,17.7,0,0
L,299.4,309.2,1552,37.4,37,0
L,297.2,307.9,1309,49.6,167,0
L,297.3,308.3,2358,14.9,49,0
L,299.7,310.9,1384,48.2,188,0
L,297.3,308.7,1556,36.7,114,0
M,298.2,308.9,1414,44.3,68,0
L,298.9,308.6,1400,49.5,79,0
L,301.4,310.8,1389,52.7,125,0
L,303.7,312.5,1433,53.6,185,0
L,300.7,309.5,1479,43.6,240,0
L,302.7,312.2,1572,34.4,228,0
H,301.3,310.8,1434,39.5,18,0
L,297.0,307.7,1502,39.4,126,0
L,298.3,308.9,1270,52.7,44,0
M,299.6,309.0,1539,36.1,76,0
M,301.1,311.1,2089,19.8,162,0
L,296.9,307.7,1550,39.7,124,0
M,300.3,309.5,1405,49.4,77,0
L,300.9,310.8,1490,38.1,125,0
L,301.4,310.6,1578,33.0,181,0
L,303.0,311.2,1800,23.7,61,0
M,301.7,309.8,1284,68.2,111,2
M,301.0,310.6,1460,53.6,74,0
L,302.7,312.4,1360,47.8,11,0
L,299.7,310.4,1614,36.2,108,0
L,300.6,310.5,1570,38.3,14,0
L,296.9,307.9,1626,29.9,177,0
H,299.1,308.3,1424,43.4,16,0
H,298.2,309.0,1524,39.1,100,0
L,300.8,311.1,1480,41.1,176,0
M,302.2,311.5,1443,47.0,90,0
M,297.7,309.0,1656,33.2,20,0
M,302.3,311.4,1571,32.7,17,0
L,300.3,311.1,1480,46.6,185,0
M,297.4,308.6,1522,38.0,33,0
M,300.8,311.2,1488,40.1,87,0
H,300.3,311.7,1655,29.9,193,0
L,297.2,308.6,1578,34.4,76,0
L,298.2,307.8,1388,48.6,76,0
L,297.5,308.9,1469,44.0,185,0
H,299.1,310.0,1431,49.5,205,0
L,299.0,308.4,1571,38.6,5,0
L,302.5,312.0,1574,42.0,188,0
H,299.0,310.1,1432,50.0,45,0
L,300.5,311.6,1444,49.3,92,0
L,298.6,309.5,1450,44.3,7,0
M,299.5,309.1,1422,45.3,103,0
M,300.5,311.6,1577,36.5,4,0
L,300.0,309.8,1372,39.6,105,0
L,298.4,309.1,1798,29.6,81,0
L,302.6,312.0,1781,28.5,196,0
M,301.5,310.7,1347,47.9,29,0
M,301.4,310.5,1563,39.9,83,0
L,298.8,309.7,1609,40.4,169,0
M,300.7,309.5,1352,44.0,126,0
L,300.4,311.1,1487,37.4,162,0
L,300.2,309.5,1417,41.1,129,0
M,298.6,309.7,1422,49.7,139,0
L,301.2,311.0,1761,29.1,195,0
L,300.7,309.6,1661,30.3,129,0
L,302.7,312.4,1477,46.3,251,4
M,302.5,312.0,1447,45.7,210,0
M,297.7,309.0,1636,29.7,32,0
L,299.5,310.0,1594,35.1,54,0
L,299.2,309.1,1578,38.1,109,0
L,300.6,309.4,1552,36.4,113,0
L,298.1,307.7,2567,12.8,125,3
L,301.7,310.5,1567,39.1,114,0
L,301.7,311.2,1589,37.9,75,0
L,302.4,311.0,1338,67.6,194,4
L,298.7,309.8,1354,53.3,212,4
L,302.3,311.4,1845,21.9,27,0
M,300.5,311.9,1323,57.9,155,0
L,303.2,312.5,1518,39.9,146,0
M,296.8,307.9,1409,44.3,145,0
M,299.3,309.1,1571,38.3,59,0
H,297.5,308.3,1674,30.0,54,0
H,298.1,309.1,1425,44.5,49,0
H,298.3,308.6,1432,49.5,91,0
H,303.8,313.2,1381,52.4,140,0
L,302.0,311.2,1420,45.8,192,0
M,297.9,309.2,1529,38.1,96,0
L,297.9,307.8,1505,37.3,100,0
M,301.1,312.3,1852,25.9,131,0
L,298.2,309.0,1489,40.6,89,0
M,300.3,311.7,1319,51.4,170,0
L,296.3,307.3,1567,31.4,5,0
L,298.5,309.0,1458,44.8,217,0
L,301.4,310.9,1536,38.3,9,0
L,300.2,309.1,1479,47.0,22,0
L,298.6,309.9,1615,28.8,199,0
H,301.3,310.1,1455,44.1,188,0
M,298.2,309.0,1723,26.6,168,0
M,301.9,311.5,1492,40.8,150,0
L,297.7,308.1,1734,30.7,177,0
M,298.4,309.1,1467,39.6,78,0
H,297.0,308.4,1305,54.6,168,0
L,300.5,310.5,1452,42.9,29,0
L,300.6,309.8,1418,42.7,147,0
L,299.3,308.6,1437,48.1,67,0
L,300.5,309.8,1379,54.2,207,4
M,296.7,307.9,1874,21.3,130,0
H,300.0,310.1,1714,28.7,55,0
L,298.2,308.4,1424,47.6,179,0
L,301.2,310.4,1515,38.4,51,0
M,298.4,309.5,1484,41.7,119,0
L,300.7,312.3,1420,53.8,67,0
L,297.6,307.2,1486,40.6,42,0
M,302.6,311.0,1542,39.7,141,0
L,300.5,311.9,1350,51.7,18,0
L,301.9,310.4,1286,62.8,22,2
L,297.5,308.4,1441,44.5,4,0
L,297.4,308.8,1473,46.2,167,0
L,300.3,310.3,1704,29.5,0,0
M,302.3,311.9,1508,42.3,159,0
L,300.1,310.5,1627,29.2,95,0
L,297.4,309.0,1583,32.0,166,0
L,300.4,311.5,1704,29.7,103,0
L,300.1,311.3,1470,45.2,40,0
M,302.6,310.4,1451,43.1,35,0
M,299.3,309.1,1376,46.7,49,0
M,298.3,309.1,1488,40.6,176,0
L,301.4,310.7,1616,36.5,121,0
M,303.6,311.9,1617,36.0,95,0
L,298.2,308.0,1535,38.0,179,0
M,304.1,313.3,1725,28.3,177,0
L,298.2,308.7,1408,46.3,3,0
H,301.2,310.9,1798,22.3,59,0
L,302.7,312.4,1423,51.9,60,0
M,298.3,307.7,1602,33.4,106,0
L,297.4,308.2,1533,37.4,115,0
L,298.6,309.8,1561,32.6,201,0
L,297.6,309.6,1501,49.8,222,4
L,298.4,308.1,1598,32.7,94,0
H,298.9,308.7,1353,48.1,79,0
M,300.9,310.8,1519,34.9,73,0
L,298.0,308.7,1462,48.2,204,0
L,296.8,308.0,1510,39.4,29,0
L,300.3,309.8,1523,39.2,24,0
L,299.1,309.9,1586,36.6,215,0
L,301.2,310.8,1479,38.2,139,0
L,298.4,310.0,1559,44.2,23,0
M,298.6,309.4,1460,43.8,138,0
L,302.0,309.9,1388,51.4,183,0
L,299.2,310.7,1737,27.0,225,1
L,302.4,311.8,1433,42.2,134,0
M,297.2,308.5,1364,54.0,43,0
L,300.6,310.5,1644,33.8,148,0
L,299.8,309.4,1436,51.6,158,0
L,300.1,309.6,1321,46.9,75,0
M,300.9,310.7,1268,56.3,161,0
L,298.2,308.4,1512,34.9,181,0
L,300.6,310.4,2514,13.4,215,0
L,301.0,310.9,1570,34.0,192,0
L,298.9,310.1,1442,48.0,181,0
L,300.5,309.7,1887,24.3,28,0
H,301.4,310.4,1610,38.6,16,0
L,297.1,308.3,1763,25.7,139,0
L,300.5,311.9,1432,43.1,16,0
L,299.8,309.2,1760,25.9,63,0
L,297.8,309.3,2015,20.1,161,0
M,298.3,309.6,1531,40.1,81,0
H,299.4,309.1,1373,44.1,81,0
L,300.9,311.0,1438,49.0,61,0
M,296.9,307.6,1685,32.0,10,0
M,300.1,311.3,1518,40.2,130,0
L,299.4,309.3,1377,43.6,28,0
L,302.5,312.0,2052,18.9,40,0
L,299.3,309.3,1325,62.0,47,0
H,297.2,308.5,1482,39.3,187,0
L,301.1,311.1,1799,21.7,206,0
L,299.1,308.1,1479,40.7,10,0
L,303.1,312.9,1511,40.1,107,0
L,300.6,311.7,1497,43.6,198,0
L,298.6,309.1,1537,35.7,198,0
L,298.5,308.1,1662,28.6,48,0
M,297.0,307.9,1882,24.2,97,0
M,299.0,310.1,1593,35.4,5,0
L,298.2,308.9,1605,32.0,79,0
M,297.5,308.6,1510,35.5,155,0
L,298.0,308.3,1544,34.7,213,0
H,298.7,309.7,1311,54.5,52,0
L,304.0,313.1,1564,50.9,119,0
L,299.3,309.1,1470,41.1,118,0
H,297.4,309.3,1516,43.0,83,0
M,300.8,310.7,1572,36.2,167,0
M,300.8,311.2,1429,52.3,77,0
L,301.7,311.3,1584,38.8,132,0
L,299.0,310.4,1512,38.8,109,0
M,299.7,310.6,1572,38.0,139,0
M,298.8,310.1,1243,74.5,194,4
M,300.0,309.3,1932,21.8,135,0
M,298.2,308.4,1510,39.9,134,0
M,300.7,310.6,1349,54.5,19,0
M,300.7,309.8,1490,38.8,173,0
L,302.9,312.3,1530,34.9,185,0
M,300.7,311.7,1701,30.8,44,0
L,301.8,311.0,1529,41.6,12,0
H,301.3,310.6,1527,44.0,114,0
L,301.8,310.3,1482,41.4,63,0
L,298.3,309.0,1408,45.4,98,0
M,300.7,311.1,1438,46.6,103,0
M,301.7,310.0,1391,50.6,195,0
L,302.2,311.4,1449,46.5,60,0
L,298.9,309.9,1526,35.4,96,0
M,303.4,311.4,1606,29.6,122,0
M,298.2,308.3,1639,33.3,191,0
L,297.0,307.7,1447,46.4,8,0
L,300.1,311.5,1454,52.4,90,0
M,303.1,312.5,1766,26.7,157,0
L,295.6,306.1,1372,55.6,215,4
L,298.4,308.9,1628,34.9,93,0
M,302.0,310.6,1623,34.3,9,0
L,299.3,309.1,1388,45.5,123,0
L,301.3,310.0,1550,41.5,197,0
L,298.1,308.0,1652,28.5,63,0
L,295.8,306.4,1339,53.2,67,0
M,296.9,307.5,1332,51.1,121,0
L,299.0,308.8,1405,55.2,103,0
L,298.5,309.6,1585,32.2,89,0
L,303.8,313.3,1406,52.1,166,0
L,302.2,311.8,1618,36.0,158,0
L,301.3,310.9,1509,41.7,16,0
L,302.3,311.9,1434,51.9,173,0
L,300.9,310.7,1740,25.3,164,0
M,301.1,310.7,1367,43.4,111,0
M,301.2,310.4,1697,30.0,120,0
L,299.7,309.2,1326,64.8,71,0
H,300.7,312.4,1457,47.2,74,0
H,301.7,310.1,1660,29.3,72,0
L,297.5,308.6,1596,36.0,141,0
L,298.4,308.2,1604,34.9,11,0
M,302.2,311.3,1510,36.6,91,0
L,302.8,312.3,1504,40.3,204,0
L,300.7,310.4,1543,47.3,203,0
L,300.8,311.2,1481,38.5,181,0
L,298.0,308.2,1514,37.9,9,0
L,301.0,310.9,1296,54.9,69,0
M,298.2,307.8,1566,33.8,100,0
M,296.1,307.0,1523,42.0,164,0
L,296.8,308.1,1356,48.3,201,0
L,303.6,312.6,1699,27.9,160,0
L,303.5,311.9,1515,39.2,24,0
L,301.5,310.5,1593,32.9,155,0
M,296.9,308.0,1430,55.9,71,0
M,298.8,308.6,1486,41.1,13,0
L,297.0,308.1,1429,54.0,138,0
M,301.1,311.3,1389,53.3,8,0
L,302.6,310.8,1470,41.2,156,0
M,297.8,307.4,1438,43.6,141,0
M,301.9,310.9,1641,33.2,3,0
L,300.6,309.5,1867,23.0,242,0
L,299.5,310.7,1472,40.9,104,0
H,300.9,311.4,1387,42.7,121,0
L,302.6,311.9,1453,39.1,84,0
L,298.2,307.8,1528,31.1,194,0
L,298.8,310.6,1803,25.4,209,0
M,303.9,312.7,1485,43.3,174,0
L,296.7,307.7,1524,36.8,82,0
M,297.0,307.7,1498,47.1,199,0
M,299.0,310.3,1827,28.0,178,0
M,302.3,310.1,1731,33.4,112,0
L,297.9,308.0,1954,21.1,42,0
M,297.1,307.9,1662,26.9,183,0
M,299.4,309.1,1461,48.6,70,0
M,300.4,311.5,1750,27.3,116,0
M,297.9,309.1,1338,49.6,56,0
H,297.1,308.4,1654,31.4,171,0
M,298.4,308.6,1527,40.9,96,0
M,302.1,310.7,1376,46.3,210,2
L,304.4,313.6,1568,39.1,0,0
L,297.7,308.7,1474,46.8,188,0
L,299.4,309.1,2421,14.2,57,0
L,298.8,308.6,1511,36.1,157,0
M,303.9,313.1,1514,41.1,121,0
L,303.0,311.2,1664,29.8,186,0
M,299.1,310.5,1428,43.0,53,0
L,301.9,309.7,1595,31.4,133,0
L,302.3,311.2,1786,24.3,81,0
M,300.8,310.8,1520,38.0,45,0
L,300.0,309.9,1507,41.4,74,0
M,300.6,310.7,1654,32.0,180,0
L,302.5,311.9,1497,41.6,123,0
L,302.0,310.6,1392,50.0,84,0
L,299.2,309.0,1951,21.4,102,0
M,300.8,310.6,1505,36.2,0,0
L,302.2,310.1,1458,45.1,15,0
L,299.6,308.9,1613,30.8,80,0
M,298.8,308.6,1598,35.1,52,0
L,297.3,308.7,1531,36.7,116,0
H,297.5,308.4,1793,23.9,28,0
L,300.4,309.4,1412,51.6,153,0
L,301.1,309.6,1501,36.1,156,0
M,297.5,308.6,1255,60.7,77,0
H,304.2,313.3,1625,37.3,27,0
L,296.8,307.6,1588,37.6,126,0
L,298.4,309.4,1540,43.2,141,0
L,301.7,310.9,1405,46.4,207,1
L,300.8,310.4,1368,46.8,21,0
L,301.0,311.5,1444,39.8,197,0
L,297.9,307.9,1412,44.5,85,0
L,298.8,309.9,1568,33.7,13,0
L,301.7,310.5,1354,50.0,169,0
L,304.0,313.2,1314,47.1,144,0
M,299.0,310.3,1582,33.3,177,0
L,302.5,311.9,1306,59.7,172,0
L,301.3,310.6,1510,38.5,47,0
L,300.9,311.1,1457,37.4,96,0
L,298.9,308.5,1503,40.6,145,0
M,297.2,308.5,1353,46.5,185,0
L,300.2,310.2,1415,49.6,21,0
L,300.6,312.3,1532,37.2,54,0
H,300.2,309.9,1906,22.9,165,0
L,299.0,310.2,1372,48.0,174,0
M,302.4,311.1,1443,51.8,178,0
L,299.0,310.3,1431,39.9,157,0
L,301.0,311.3,1342,50.9,60,0
M,296.8,307.4,1472,43.9,30,0
L,299.2,310.5,1705,29.5,95,0
M,299.0,310.3,1540,38.1,182,0
M,300.3,311.4,1386,48.1,119,0
M,303.7,312.8,1685,31.8,203,0
M,300.8,310.2,1598,36.5,195,0
L,300.9,310.4,1544,36.0,148,0
L,298.0,308.2,1620,35.8,5,0
L,296.3,307.4,1648,34.0,60,0
L,303.9,312.6,1426,53.4,172,0
L,299.4,309.4,1701,31.2,199,0
L,297.2,308.6,1392,41.5,108,0
L,300.4,310.0,1282,66.1,40,0
M,300.1,311.4,1342,48.5,203,0
L,299.4,310.7,1426,45.7,213,0
L,300.3,310.6,1433,53.8,86,0
L,300.8,310.9,1748,29.9,140,0
L,300.2,311.5,1383,42.1,60,0
L,297.3,308.6,1297,45.9,184,0
L,298.2,309.1,1350,52.0,136,0
M,298.1,308.0,2129,18.4,45,0
M,301.7,311.0,1505,44.0,187,0
L,300.4,310.8,1390,52.5,144,0
M,301.4,310.0,1651,29.8,44,0
L,300.0,309.2,1566,34.4,18,0
M,300.4,309.5,1888,21.9,221,0
L,302.8,311.0,1564,38.5,85,0
L,301.6,310.9,1632,31.6,189,0
L,302.3,311.4,1609,32.3,49,0
H,300.5,309.9,1397,45.9,210,1
L,297.4,308.5,1418,51.2,52,0
M,301.7,311.0,1298,58.1,168,0
H,298.2,307.6,1460,48.6,204,0
M,302.9,312.3,1809,25.0,180,0
L,297.1,308.3,1773,23.8,169,0
M,298.3,308.4,1444,47.5,178,0
M,302.2,311.4,1372,55.1,9,0
L,302.4,310.1,1906,21.2,110,0
M,296.9,307.8,1392,43.9,0,0
L,301.5,310.8,1785,25.5,120,0
H,300.9,312.0,1397,42.7,212,0
L,299.7,310.6,1737,26.1,144,0
L,301.3,310.6,1440,53.8,90,0
M,299.9,310.5,1335,52.9,180,0
M,300.8,310.3,1526,36.3,205,0
L,301.3,311.1,1624,40.9,0,0
L,300.1,310.1,1650,31.6,19,0
M,299.4,309.3,1485,47.1,209,0
L,301.1,312.3,1682,29.7,83,0
L,300.5,311.4,1400,45.1,29,0
M,298.5,308.6,1384,54.4,44,0
L,298.8,308.4,1737,27.7,130,0
M,297.9,307.9,1540,39.8,38,0
M,298.2,307.8,1411,53.4,110,0
L,300.8,311.0,1578,44.4,86,0
M,298.2,309.5,1478,36.5,182,0
L,301.3,311.1,1723,27.6,210,0
L,300.5,311.5,1499,37.6,73,0
L,297.8,308.5,1561,46.3,194,0
L,298.3,309.2,1383,52.1,26,0
M,300.5,312.0,1867,23.0,103,0
L,299.3,308.6,1422,48.9,83,0
L,297.8,308.4,1374,47.1,150,0
L,300.4,311.5,1492,44.6,149,0
L,298.1,309.0,1557,36.0,56,0
L,297.5,308.4,1723,27.3,67,0
M,300.4,311.6,1518,36.4,53,0
H,300.7,310.3,1369,50.7,12,0
L,300.4,311.8,2261,14.9,5,0
L,301.3,310.6,1426,40.7,54,0
L,300.5,311.9,1546,39.4,203,0
M,303.3,311.5,1373,47.3,60,2
L,302.9,312.4,1383,51.4,160,0
M,303.9,313.2,1570,40.7,74,0
M,298.6,309.6,1635,29.7,9,0
L,300.5,309.8,1461,52.5,146,0
L,300.8,310.9,1453,43.9,84,0
L,297.1,308.5,1483,46.9,203,0
L,300.6,311.8,1501,44.8,226,0
L,297.4,308.5,1477,40.7,74,0
H,300.2,310.3,1408,42.5,0,0
L,302.5,312.0,1574,33.8,63,0
L,299.2,308.6,1582,38.8,156,0
M,300.7,310.6,1609,27.6,108,0
L,300.7,312.0,1550,32.4,5,0
M,300.7,311.5,1441,40.6,33,0
L,300.3,310.1,1483,39.9,174,0
M,299.8,309.6,1346,53.2,95,0
L,298.6,309.6,1472,39.1,14,0
M,297.4,308.4,1441,46.8,116,0
M,302.3,311.5,1530,42.3,21,0
L,301.8,310.3,1341,50.5,64,2
M,298.0,307.7,1487,41.3,160,0
L,296.9,307.9,1359,56.5,110,0
L,301.0,312.3,1424,43.5,136,0
L,298.0,309.1,1822,23.5,122,0
L,300.0,311.2,1629,31.7,62,0
H,299.9,311.3,1413,41.8,153,0
M,298.8,310.5,1678,32.8,4,0
L,302.5,311.6,1400,54.0,196,0
L,297.6,308.8,1475,43.0,119,0
M,301.6,310.6,1924,23.6,181,0
M,302.4,310.3,1378,54.3,165,2
M,298.1,307.8,1569,31.2,131,0
L,300.5,312.0,1461,38.1,39,0
M,298.2,308.7,1426,42.6,23,0
M,301.7,310.1,1644,34.6,5,0
L,300.5,311.6,1365,53.0,85,0
L,302.4,310.0,1426,46.6,102,0
M,298.1,308.8,1394,47.9,70,0
L,300.7,310.6,1616,29.6,47,0
L,298.4,308.0,1380,47.6,130,0
L,301.9,310.7,1370,50.3,20,0
H,301.7,311.2,1639,30.0,161,0
H,299.7,309.2,1456,40.6,182,0
L,298.0,308.6,1430,57.0,43,0
L,298.4,308.8,1458,40.1,111,0
L,299.1,308.5,1689,32.1,192,0
M,298.7,309.7,1622,34.6,8,0
M,298.4,308.1,1495,46.0,203,0
L,298.0,309.2,1527,32.4,99,0
H,297.5,308.9,1471,37.7,197,0
M,299.0,310.3,1635,34.5,168,0
H,302.0,309.9,1735,27.2,192,0
L,297.5,309.4,1803,24.7,98,0
L,298.8,308.8,1991,20.7,59,0
L,299.1,310.5,1496,35.2,60,0
M,298.4,309.5,1519,35.4,133,0
L,302.9,312.3,1578,36.3,141,0
L,302.7,310.5,1563,35.0,8,0
L,298.4,309.3,1409,43.1,166,0
L,298.5,309.6,1582,40.3,103,0
L,298.9,310.2,1623,37.2,177,0
L,298.4,309.2,1345,52.7,196,0
L,301.9,311.0,1353,43.8,130,0
M,301.9,310.7,1472,47.0,73,0
L,301.3,311.0,1418,41.9,208,0
L,298.8,308.3,1634,27.9,12,0
M,298.0,307.6,1569,35.6,173,0
H,303.0,311.2,1503,37.0,152,0
H,298.4,307.9,1700,28.2,120,0
M,300.2,310.6,1983,20.8,83,0
L,301.8,309.7,1442,45.3,233,1
H,300.3,309.9,1394,46.7,210,1
M,299.9,311.3,1703,28.4,134,0
L,300.6,310.4,1556,37.7,122,0
H,297.5,309.5,1668,27.9,240,0
L,301.0,311.0,1553,35.8,26,0
M,299.7,309.6,1477,42.7,163,0
L,298.2,307.7,1459,44.5,89,0
M,297.4,309.3,1499,36.8,88,0
L,299.8,309.9,1553,36.6,157,0
L,300.9,310.7,1427,44.1,141,0
M,298.6,309.8,1419,44.9,115,0
M,301.0,310.7,1517,40.2,171,0
M,299.9,310.4,1820,26.6,175,0
H,297.3,308.0,1384,49.1,206,0
L,301.8,311.5,1443,43.3,134,0
M,299.8,309.7,1910,21.8,141,0
L,300.3,310.3,1362,60.3,206,4
L,298.1,308.0,1426,46.0,61,0
L,300.4,311.6,1200,76.6,3,3
H,300.9,311.9,1513,38.0,38,0
M,298.8,309.0,1592,38.2,169,0
M,300.5,311.1,1296,61.3,202,4
L,300.6,312.0,1490,42.2,3,0
L,297.6,308.6,1576,32.7,83,0
L,298.2,307.9,1769,27.2,188,0
M,297.4,309.4,1539,42.2,134,0
H,302.3,311.7,1449,44.5,152,0
H,297.1,307.9,1420,39.8,192,0
L,299.1,308.9,1445,43.4,197,0
H,298.6,309.4,1362,45.3,56,0
L,299.9,311.3,1504,40.7,20,0
L,300.0,309.3,1395,56.5,122,0
L,302.3,311.7,1414,47.0,11,0
L,300.5,309.6,1760,30.6,213,0
M,300.8,310.7,1452,43.0,139,0
M,298.9,310.6,1720,25.3,197,0
L,298.2,309.0,1601,35.8,43,0
L,303.7,312.7,1989,22.4,166,0
M,302.2,311.0,1476,47.4,161,0
L,297.4,308.8,1353,49.4,188,0
L,296.9,308.1,1435,45.3,62,0
L,297.7,308.4,1289,51.3,82,0
M,300.3,311.4,1554,34.3,99,0
L,302.6,311.8,1627,31.8,23,0
M,300.7,309.6,1439,43.0,61,0
L,298.9,308.5,1559,34.3,126,0
L,298.2,308.8,1354,60.9,32,0
L,298.9,310.0,1470,45.9,109,0
L,300.1,309.5,1557,40.6,59,0
H,302.2,310.9,1415,48.4,185,0
L,298.2,307.8,1355,59.4,115,0
L,298.3,308.8,1454,49.0,166,0
L,300.7,310.6,1447,40.7,82,0
M,301.7,310.6,1380,45.8,70,0
M,300.2,309.8,1487,39.2,122,0
M,300.0,311.4,1352,61.8,10,0
L,300.0,310.1,1762,28.0,202,0
L,299.3,309.0,1447,50.4,140,0
M,300.2,310.2,1429,43.8,54,0
L,301.4,311.0,1533,45.8,125,0
L,298.3,308.0,2886,3.8,57,3
M,302.3,311.0,1541,36.6,143,0
M,297.2,308.5,1425,45.8,109,0
L,296.9,308.4,1557,32.4,173,0
M,299.7,309.0,1465,49.0,158,0
M,298.2,308.9,1592,35.2,142,0
M,297.4,309.3,1775,25.8,91,0
L,300.4,309.8,1549,38.9,150,0
M,302.2,310.8,1408,46.8,49,0
L,298.1,307.9,1502,41.8,79,0
L,297.9,307.8,1286,59.5,55,0
L,300.0,310.5,1412,52.4,142,0
M,303.3,311.5,1384,54.8,48,0
L,300.2,309.8,1557,33.8,19,0
H,299.6,310.9,1679,31.2,120,0
M,301.2,310.7,1527,41.1,53,0
L,297.7,308.9,1516,33.7,92,0
M,300.7,311.5,1569,36.4,20,0
H,299.9,310.3,1535,43.9,154,0
L,298.6,309.7,1356,54.0,6,0
L,300.6,311.7,1556,34.9,76,0
L,300.6,310.5,1470,37.7,98,0
L,298.4,308.3,1318,59.1,22,0
M,301.8,310.7,1309,43.3,68,0
L,300.3,311.5,1378,47.5,64,0
M,299.5,309.3,1675,29.2,132,0
L,301.1,310.6,1417,47.6,10,0
H,298.5,307.9,1260,54.2,141,0
L,297.5,308.4,1433,50.0,218,0
M,297.4,308.8,1359,48.7,220,0
H,299.4,310.8,1585,31.4,149,0
L,299.7,310.3,1386,46.6,2,0
L,298.0,308.7,1511,45.8,114,0
L,299.4,310.9,1751,27.8,10,0
L,298.3,309.4,1618,31.5,108,0
L,299.6,311.0,1574,35.0,133,0
L,298.9,309.0,1410,65.7,191,4
M,300.4,311.8,1707,30.0,165,0
L,297.0,308.1,1355,43.7,217,0
L,298.9,309.8,1390,49.9,21,0
M,297.5,308.1,1907,23.5,125,0
L,297.5,308.9,1596,30.7,5,0
L,300.7,310.9,1356,65.3,66,3
L,303.5,311.6,1428,46.2,139,0
L,302.4,311.3,1503,38.2,120,0
M,301.8,310.3,1409,52.5,26,0
M,298.0,307.7,1621,34.9,194,0
L,299.5,309.3,1577,36.6,14,0
H,299.4,309.3,1534,37.5,39,0
M,298.8,310.0,1295,52.7,74,0
L,300.2,311.0,1627,33.7,147,0
M,300.4,311.5,1476,32.6,144,0
M,298.6,310.2,1328,50.5,12,0
L,300.1,309.5,1450,40.1,100,0
L,299.8,309.8,1542,39.4,155,0
M,301.0,309.7,1511,39.3,146,0
M,302.5,311.9,1298,57.5,57,0
L,298.0,308.6,1313,50.8,170,0
L,301.2,310.7,1517,39.4,107,0
H,301.2,310.9,1598,35.9,71,0
L,300.8,310.2,1520,37.7,193,0
M,298.6,310.1,1444,48.1,39,0
L,303.8,313.0,1499,42.3,38,0
M,298.8,308.6,1500,37.1,210,0
M,301.1,310.6,1410,43.9,73,0
H,297.4,308.7,1726,26.8,158,0
L,299.1,310.5,1628,35.9,174,0
L,302.5,311.4,1759,24.6,124,0
L,299.8,311.1,1412,42.5,181,0
M,297.6,308.4,1398,48.9,63,0
L,299.2,308.4,1402,47.7,24,0
L,301.6,309.8,1472,42.5,91,0
H,298.9,308.8,1621,32.7,75,0
M,297.2,308.6,1498,44.4,9,0
M,303.5,312.3,1624,34.8,121,0
M,298.6,310.0,1512,37.5,27,0
L,303.8,312.9,1589,37.2,203,0
L,301.3,310.6,1436,44.2,76,0
H,298.8,309.6,1516,40.2,152,0
L,300.3,311.1,1388,49.4,128,0
L,300.3,311.7,1579,33.6,59,0
L,299.2,309.0,1515,48.9,228,4
M,301.8,310.8,1691,33.4,62,0
L,296.6,307.4,1504,45.8,58,0
M,303.5,312.0,1475,42.9,85,0
H,302.5,311.3,1393,47.5,130,0
L,295.8,306.4,1325,56.2,65,0
L,301.5,310.9,1600,39.0,160,0
L,301.2,310.4,1470,44.0,113,0
M,301.9,310.4,1373,48.0,73,2
L,301.0,310.4,1563,34.4,124,0
L,297.4,309.0,1505,39.2,209,0
